cv_inf_ms,proc_time_ms
121.459,163.34
102.202,126.31
101.514,126.91
131.664,149.03
152.39,175.83
87.472,108.51
143.803,167.66
106.135,129.04
113.196,162.51
109.234,131.61
128.635,148.74
108.044,126.51
109.794,129.72
133.194,155.72
93.489,128.94
96.153,123.21
97.867,123.03
103.136,126.34
134.176,160.23
134.935,160.1
112.925,165.9
110.312,156.35
120.78,151.24
99.655,135.28
129.968,139.11
114.326,135.79
134.411,156.81
72.488,121.51
129.947,144.11
855.146,881.83
105.88,127.93
161.212,175.6
126.179,133.21
108.088,122.2
130.125,141.44
112.323,120.22
120.399,126.21
108.305,116.04
124.918,131.27
101.957,118.04
174.345,197.19
127.364,135.82
128.514,139.24
139.544,154.04
126.425,144.61
122.766,147.34
136.274,151.89
129.131,141.33
140.389,152.81
133.472,154.71
143.712,163.97
167.054,182.74
135.352,149.5
136.532,148.57
163.233,188.3
131.725,143.74
127.774,143.5
107.64,120.18
151.285,176.88
124.342,139.96
137.376,159.89
139.044,159.27
127.482,149.89
115.123,141.55
127.944,141.23
149.382,164.33
111.997,127.55
113.216,129.62
89.438,107.69
126.159,144.2
148.138,215.66
146.339,170.99
116.955,165.02
113.838,130.86
110.163,126.8
143.113,159.81
121.717,142.2
142.347,160.95
130.184,150.65
139.338,156.48
118.567,137.44
134.449,162.98
129.873,172.17
168.196,192.53
124.638,149.79
147.043,209.84
122.631,181.27
129.379,177.16
147.211,164.91
105.818,122.8
125.066,180.41
145.39,196.55
132.954,183.5
124.19,163.0
128.145,170.11
121.084,168.09
137.692,178.35
121.734,136.25
129.11,178.28
92.979,110.8
124.375,139.69
109.351,150.52
112.812,123.99
105.905,117.83
74.25,87.01
129.446,141.07
118.129,143.09
87.56,101.02
104.203,116.22
89.615,102.97
119.525,131.04
118.322,131.68
115.726,155.41
160.025,177.35
128.184,152.77
127.814,167.1
105.382,117.79
112.503,126.37
104.813,116.66
115.125,128.45
125.144,140.93
118.75,131.51
112.035,124.12
115.345,126.84
122.118,134.35
127.094,179.41
90.319,113.59
124.155,139.92
120.849,170.35
110.954,127.26
98.64,139.69
79.449,94.7
118.592,144.09
153.335,207.56
128.735,163.83
118.423,140.92
98.622,119.98
123.533,154.34
107.056,136.64
107.108,128.35
79.243,103.06
140.684,165.91
99.659,121.6
127.766,152.0
113.767,132.38
135.537,152.94
113.633,132.74
123.613,151.82
121.691,151.57
148.629,171.76
89.882,118.78
84.374,107.83
96.782,121.19
124.405,148.95
121.939,149.76
112.84,139.16
98.435,132.36
87.607,114.39
76.445,101.0
128.703,162.71
123.439,150.12
78.253,104.22
96.186,126.11
88.253,118.54
148.655,183.04
101.102,127.71
117.372,151.97
123.042,152.77
105.388,127.24
113.013,136.08
109.045,131.49
129.322,150.77
117.249,149.12
97.277,121.7
108.572,136.09
108.463,136.53
128.558,159.23
71.745,98.91
89.529,117.58
91.689,117.36
117.994,150.81
92.994,121.83
118.647,151.84
124.986,148.58
100.242,126.13
109.972,134.76
110.883,137.66
109.287,132.3
112.217,134.21
108.197,131.21
107.961,131.44
113.937,138.21
127.886,155.87
104.13,127.7
106.939,131.44
130.918,154.9
94.993,122.23
101.163,126.9
117.002,140.95
87.03,115.12
146.404,175.06
133.148,157.27
128.714,157.98
116.474,136.15
126.236,144.41
135.12,163.61
106.734,127.93
83.514,105.28
107.631,131.21
150.187,173.31
90.474,110.93
79.326,102.15
152.256,185.72
83.787,109.05
80.911,104.21
112.205,142.77
112.411,135.17
78.87,107.19
147.781,176.04
87.682,112.23
78.558,105.07
95.882,120.56
96.118,124.82
98.037,124.97
113.363,136.5
110.504,133.95
125.215,188.96
132.339,165.7
136.471,188.61
159.476,183.1
81.046,101.41
150.185,173.59
108.542,125.88
113.764,131.15
117.224,134.0
121.652,137.4
116.842,133.5
125.441,142.07
143.997,170.27
141.23,166.33
116.051,156.1
100.73,144.13
95.691,130.07
78.079,131.64
124.644,149.19
142.711,191.2
139.78,154.42
110.653,159.76
144.954,194.0
123.939,177.23
130.713,172.77
146.817,196.16
129.036,168.19
93.27,142.14
102.61,155.23
109.438,155.55
117.702,170.33
144.407,161.05
126.459,150.38
115.856,133.36
102.832,117.49
101.226,116.58
86.237,103.75
98.63,117.12
81.967,100.45
125.66,170.19
162.527,187.17
